"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"17-JAN-2024","PRICOLLTD","Pricol Limited","TNTBC AS THE TRUSTEE OF NOMURA INDIA STOCK MOTHER FUND","BUY","30,97,900","343.50","-"
"18-JAN-2024","HCLTECH","HCL Technologies Ltd.","BNP PARIBAS ARBITRAGE","SELL","4,59,303","1,575.90","-"
"18-JAN-2024","HCLTECH","HCL Technologies Ltd.","SOCIETE GENERALE","BUY","4,59,303","1,575.90","-"
"18-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","39,00,000","26.15","-"
"18-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","39,00,000","26.15","-"
"20-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","39,00,000","26.45","-"
"20-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","39,00,000","26.45","-"
"24-JAN-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","39,00,000","26.85","-"
"24-JAN-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","39,00,000","26.85","-"
"24-JAN-2024","POONAWALLA","Poonawalla Fincorp Ltd","MAGMA VENTURES PRIVATE LIMITED","SELL","40,33,000","495.85","-"
"24-JAN-2024","POONAWALLA","Poonawalla Fincorp Ltd","RISING SUN HOLDINGS PVT LTD","BUY","40,33,000","495.85","-"
"25-JAN-2024","ADANIPORTS","ADANI PORT & SEZ LTD","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","1,84,250","1,120.60","-"
"25-JAN-2024","ADANIPORTS","ADANI PORT & SEZ LTD","MARSHALL WACE INVESTMENT STRATEGIES  SYSTEMATIC ALPHA PLUS FUND","BUY","5,227","1,120.60","-"
"25-JAN-2024","ADANIPORTS","ADANI PORT & SEZ LTD","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","9,652","1,120.60","-"
"25-JAN-2024","ADANIPORTS","ADANI PORT & SEZ LTD","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","82,211","1,120.60","-"
"25-JAN-2024","ADANIPORTS","ADANI PORT & SEZ LTD","SOCIETE GENERALE","SELL","2,81,340","1,120.60","-"
"25-JAN-2024","ALKEM","Alkem Laboratories Ltd.","MARSHALL WACE INVESTMENT STRATEGIES  EUREKA FUND","BUY","1,04,939","4,999.60","-"
"25-JAN-2024","ALKEM","Alkem Laboratories Ltd.","MARSHALL WACE INVESTMENT STRATEGIES MARKET NEUTRAL TOPS FUND","BUY","1,169","4,999.60","-"
"25-JAN-2024","ALKEM","Alkem Laboratories Ltd.","MARSHALL WACE INVESTMENT STRATEGIES TOPS FUND","BUY","95","4,999.60","-"
"25-JAN-2024","ALKEM","Alkem Laboratories Ltd.","SOCIETE GENERALE","SELL","1,06,203","4,999.60","-"
