Ticker,Name,Sector
AHL,Abans Holdings Limited,Finance
AHLADA,Ahlada Engineers Limited,FURNITURE / HOME FURNISHING / FLOORING
AHLEAST,Asian Hotels (East) Limited,Hotels
AHLUCONT,Ahluwalia Contracts (India) Limited,Realty
AIAENG,AIA Engineering Limited, Industrial Goods
AIROLAM,Airo Lam limited,PLYWOOD BOARDS/ LAMINATES
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals
AJMERA,Ajmera Realty & Infra India Limited,Realty
AKG,Akg Exim Limited,Trading Companies & Distributors
AKZOINDIA,Akzo Nobel India Limited,PAINTS
ALBERTDAVD,Albert David Limited,Pharmaceuticals
ALEMBICLTD,Alembic Limited,Pharmaceuticals
ALICON,Alicon Castalloy Limited,Auto Parts & Equipment
ALKALI,Alkali Metals Limited,Specialty Chemicals
ALKEM,Alkem Laboratories Limited,Pharmaceuticals
ALKYLAMINE,Alkyl Amines Chemicals Limited,Specialty Chemicals
ALLCARGO,Allcargo Logistics Limited,LOGISTICS SOLUTION PROVIDER
ALLSEC,Allsec Technologies Limited,BPO / ITeS
ALPA,Alpa Laboratories Limited,Biotechnology
ALPHAGEO,Alphageo (India) Limited,Oil Equipment & Services
AMBER,Amber Enterprises India Limited,Consumer Electronics
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Trading Companies & Distributors
AMBIKCO,Ambika Cotton Mills Limited,Textiles
AMBUJACEM,Ambuja Cements Limited,Cement & Cement Products
AMIORG,Ami Organics Limited,Pharmaceuticals
AMJLAND,Amj Land Holdings Limited,Realty
AMNPLST,Amines & Plasticizers Limited,Process Industries
AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services
ANANTRAJ,Anant Raj Limited,Realty
ANDHRAPAP,ANDHRA PAPER LIMITED,Paper & Paper Products
ANDHRSUGAR,The Andhra Sugars Limited,Commodity Chemicals
ANGELONE,Angel One Limited,Financial Services
ANMOL,Anmol India Limited,Distributors
ANUP,The Anup Engineering Limited,Industrial Machinery
ANURAS,Anupam Rasayan India Limited,Specialty Chemicals
APARINDS,Apar Industries Limited,Other Electrical Equipment/ Products
APCL,Anjani Portland Cement Limited,Cement & Cement Products
APCOTEXIND,Apcotex Industries Limited, Industrial Goods
APEX,Apex Frozen Foods Limited,Packaged Foods
APLAPOLLO,APL Apollo Tubes Limited,IRON & STEEL PRODUCTS
APLLTD,Alembic Pharmaceuticals Limited,Pharmaceuticals
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare  - Facilities
APOLLOPIPE,Apollo Pipes Limited,PLASTIC PRODUCTS
APOLLOTYRE,Apollo Tyres Limited,Tyres & Rubber Products
APOLSINHOT,Apollo Sindoori Hotels Limited,Hotels
APTECHT,Aptech Limited,IT Training Services
APTUS,Aptus Value Housing Finance India Limited,Housing Finance Companies
ARCHIDPLY,Archidply Industries Limited,Forest Products - PLY & BOARDS
ARENTERP,Rajdarshan Industries Limited,Construction & Engineering
ARIES,Aries Agro Limited,FERTILIZERS
ARIHANTCAP,Arihant Capital Markets Limited,STOCKBROKING AND ALLIED
ARIHANTSUP,Arihant Superstructures Limited,RESIDENTIAL/COMMERCIAL/SEZ Project
ARMANFIN,Arman Financial Services Limited,Fin COS (including NBFCs)
AROGRANITE,Aro Granite Industries Limited,GRANITES / MARBLES
ARROWGREEN,Arrow Greentech Limited,PLASTIC PRODUCTS
ARTEMISMED,Artemis Medicare Services Limited,Healthcare  - Services
ARVIND,Arvind Limited,Textiles
ARVINDFASN,Arvind Fashions Limited,Other Apparels & Accessories
ARVSMART,Arvind SmartSpaces Limited,Realty
ASAHIINDIA,Asahi India Glass Limited,GLASS
ASAHISONG,Asahi Songwon Colors Limited,DYES & PIGMENTS
ASAL,Automotive Stampings and Assemblies Limited,Auto Parts & Equipment
ASALCBR,Associated Alcohols & Breweries Ltd.,Breweries & Distilleries
ASHIANA,Ashiana Housing Limited,Realty
ASHIMASYN,Ashima Limited,Textiles
ASHOKA,Ashoka Buildcon Limited,Roads & Highways
ASHOKLEY,Ashok Leyland Limited,"Construction, Agricultural & Commercial Vehicles"
ASIANENE,Asian Energy Services Limited,Oil Equipment & Services
ASIANPAINT,Asian Paints Limited,PAINTS
ASIANTILES,Asian Granito India Limited,CERAMICS / GRANITES 
ASMS,Bartronics India Limited,Electronic Technology
ASPINWALL,Aspinwall and Company Limited,LOGISTICS SOLUTION PROVIDER
ASTEC,Astec LifeSciences Limited,Agrochemicals
ASTERDM,Aster DM Healthcare Limited,Healthcare  - Services
ASTRAL,Astral Limited,PLASTIC PRODUCTS
ASTRAMICRO,Astra Microwave Products Limited,Defence
ASTRAZEN,AstraZeneca Pharma India Limited,Pharmaceuticals
ATALREAL,Atal Realtech Limited,Consumer Durables
ATAM,Atam Valves Limited,Producer Manufacturing
ATFL,Agro Tech Foods Limited,Other Agricultural Products
ATGL,Adani Total Gas Limited,Oil Marketing & Distribution
ATUL,Atul Limited,Specialty Chemicals
ATULAUTO,Atul Auto Limited,2/3 Wheelers
AUBANK,AU Small Finance Bank Limited,BANKS - PVT
AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals
AUSOMENT,Ausom Enterprise Limited,Trading Companies & Distributors
AUTOAXLES,Automotive Axles Limited,Auto Parts & Equipment
AUTOIND,Autoline Industries Limited,Auto Parts & Equipment
AVADHSUGAR,Avadh Sugar & Energy Limited,Sugar
AVANTIFEED,Avanti Feeds Limited,ANIMAL FEED
AVONMORE,Avonmore Capital & Management Services Limited,Finance
AVROIND,AVRO INDIA LIMITED,Consumer Durables
AVTNPL,AVT Natural Products Limited,Other Agricultural Products
AWHCL,Antony Waste Handling Cell Limited,"WASTE MANAGEMENT	"
AWL,Adani Wilmar Limited,Process Industries
AXISBANK,Axis Bank Limited,BANKS - PVT
AXISCADES,AXISCADES Technologies Limited,BPO / ITeS
AXITA,Axita Cotton Limited,Process Industries
AYMSYNTEX,AYM Syntex Limited,Textiles
BAIDFIN,Baid Finserv Limited,Finance
BAJAJCON,Bajaj Consumer Care Limited,Personal Products
BAJAJELEC,Bajaj Electricals Limited,Household Appliances
BAJAJFINSV,Bajaj Finserv Limited,Holding Companies
BAJAJHCARE,Bajaj Healthcare Limited,Pharmaceuticals
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Holding Companies
BAJFINANCE,Bajaj Finance Limited,Fin COS (including NBFCs)
BALAJITELE,Balaji Telefilms Limited,Broadcasting & Cable TV
BALAMINES,Balaji Amines Limited,Specialty Chemicals
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Pharmaceuticals
BALKRISIND,Balkrishna Industries Limited,Tyres & Rubber Products
BALMLAWRIE,Balmer Lawrie & Company Limited,Containers & Packaging
BALPHARMA,Bal Pharma Limited,Pharmaceuticals
BALRAMCHIN,Balrampur Chini Mills Limited,Sugar
BANARBEADS,Banaras Beads Limited,Other Apparels & Accessories
BANARISUG,Bannari Amman Sugars Limited,Sugar
BANCOINDIA,Banco Products (I) Limited,Auto Parts & Equipment
BANDHANBNK,Bandhan Bank Limited,BANKS - PVT
BANKBARODA,Bank of Baroda,BANKS - PSU
BANKINDIA,Bank of India,BANKS - PSU
BANSWRAS,Banswara Syntex Limited,Textiles
BARBEQUE,Barbeque Nation Hospitality Limited,Restaurants
BASF,BASF India Limited,Specialty Chemicals
BASML,Bannari Amman Spinning Mills Limited,Textiles
BATAINDIA,Bata India Limited,Footwear
BBL,Bharat Bijlee Limited,Other Electrical Equipment/ Products
BBOX,Black Box Limited,IT Consulting & Application Software
BBTC,Bombay Burmah Trading Corporation Limited,Tea & Coffee
BBTCL,B&B Triplewall Containers Limited,Process Industries
BCG,Brightcom Group Limited,Software Products
BCLIND,Bcl Industries Limited,CONSUMER FOOD
BDL,Bharat Dynamics Limited,Defence
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Packaged Foods
BEL,Bharat Electronics Limited,Defence
BEML,BEML Limited,"Construction, Agricultural & Commercial Vehicles"
BEPL,Bhansali Engineering Polymers Limited,Specialty Chemicals
BERGEPAINT,Berger Paints (I) Limited,PAINTS
BFINVEST,BF Investment Limited,Holding Companies
BFUTILITIE,BF Utilities Limited,Electric Utilities
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Agrochemicals
BHAGERIA,Bhageria Industries Limited,Specialty Chemicals
BHAGYANGR,Bhagyanagar India Limited,COPPER & COPPER PRODUCTS
BHANDARI,Bhandari Hosiery Exports Limited,Textiles
BHARATFORG,Bharat Forge Limited, Industrial Products
BHARATGEAR,Bharat Gears Limited,Auto Parts & Equipment
BHARATRAS,Bharat Rasayan Limited,Agrochemicals
BHARTIARTL,Bharti Airtel Limited,Telecommunication Services
BHEL,Bharat Heavy Electricals Limited,Heavy Electrical Equipment
BIGBLOC,Bigbloc Construction Limited,Cement & Cement Products
BIKAJI,Bikaji Foods International Limited,Consumer Non-Durables
BIOCON,Biocon Limited,Biotechnology
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Pharmaceuticals
BIRLACABLE,Birla Cable Limited,Other Electrical Equipment/ Products
BIRLACORPN,Birla Corporation Limited,Cement & Cement Products
BLISSGVS,Bliss GVS Pharma Limited,Pharmaceuticals
BLKASHYAP,B. L. Kashyap and Sons Limited,Realty
BLS,BLS International Services Limited,Travel Support Services
BLUEDART,Blue Dart Express Limited,LOGISTICS SOLUTION PROVIDER
BLUESTARCO,Blue Star Limited,Consumer Electronics
BODALCHEM,Bodal Chemicals Limited,Specialty Chemicals
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Textiles
BOROLTD,Borosil Limited,GLASS
BORORENEW,BOROSIL RENEWABLES LIMITED,Houseware
BOSCHLTD,Bosch Limited,Auto Parts & Equipment
BPCL,Bharat Petroleum Corporation Limited,Refineries & Petroleum Products
BPL,BPL Limited,Consumer Electronics
BRIGADE,Brigade Enterprises Limited,Realty
BRITANNIA,Britannia Industries Limited,Packaged Foods
BRNL,Bharat Road Network Limited,Roads & Highways
BROOKS,Brooks Laboratories Limited,Pharmaceuticals
BSE,BSE Limited,STOCK EXCHANGE
BSHSL,Bombay Super Hybrid Seeds Limited,AGRICULTURAL PRODUCTS
BSL,BSL Limited,Textiles
BSOFT,BIRLASOFT LIMITED,IT Consulting & Application Software
BTML,Bodhi Tree Multimedia Limited,Consumer Services
BURNPUR,Burnpur Cement Limited,Cement & Cement Products
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Household Appliances
BYKE,The Byke Hospitality Ltd,Hotels
CAMLINFINE,Camlin Fine Sciences Limited,Specialty Chemicals
CAMPUS,Campus Activewear Limited,Consumer Non-Durables
CAMS,Computer Age Management Services Limited,Financial Services
CANBK,Canara Bank,BANKS - PSU
CANFINHOME,Can Fin Homes Limited,Housing Finance Companies
CANTABIL,Cantabil Retail India Limited,Apparels & Accessories
CAPACITE,Capacit'e Infraprojects Limited,Realty
CAPLIPOINT,Caplin Point Laboratories Limited,Pharmaceuticals
CAPTRUST,Capital Trust Limited,NBFC
CARBORUNIV,Carborundum Universal Limited,ABRASIVES
CARERATING,CARE Ratings Limited,Financial Services
CARTRADE,Cartrade Tech Limited,ONLINE SERVICES
CARYSIL,CARYSIL LIMITED,Consumer Durables
CASTROLIND,Castrol India Limited,Oil Marketing & Distribution
CCL,CCL Products (India) Limited,Tea & Coffee
CDSL,Central Depository Services (India) Limited,Stock Depository
CEATLTD,CEAT Limited,Tyres & Rubber Products
CENTENKA,Century Enka Limited,Textiles
CENTRALBK,Central Bank of India,BANKS - PSU
CENTRUM,Centrum Capital Limited,Financial Services
CENTUM,Centum Electronics Limited,Diversified Commercial Services
CENTURYPLY,Century Plyboards (India) Limited,Forest Products - PLY & BOARDS
CENTURYTEX,Century Textiles & Industries Limited,Paper & Paper Products
CERA,Cera Sanitaryware Limited,CERAMICS / GRANITES
CESC,CESC Limited,Electric Utilities - GENERATION
CGCL,Capri Global Capital Limited,Fin COS (including NBFCs)
CGPOWER,CG Power and Industrial Solutions Limited,Heavy Electrical Equipment
CHALET,Chalet Hotels Limited,Hotels
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,FERTILIZERS
CHEMBOND,Chembond Chemicals Ltd,Specialty Chemicals
CHEMCON,Chemcon Speciality Chemicals Limited,Specialty Chemicals
CHEMFAB,Chemfab Alkalis Limited,Specialty Chemicals
CHEMPLASTS,Chemplast Sanmar Limited,Specialty Chemicals
CHENNPETRO,Chennai Petroleum Corporation Limited,Refineries & Petroleum Products
CHEVIOT,Cheviot Company Limited,Process Industries
CHOICEIN,Choice International Limited,Commercial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Fin COS (including NBFCs)
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Holding Companies
CIGNITITEC,Cigniti Technologies Limited,IT ENABLED SERVICES - SOFTWARE
CINELINE,Cineline India Limited,Realty
CINEVISTA,Cinevista Limited,Movies & Entertainment
CIPLA,Cipla Limited,Pharmaceuticals
CLEAN,Clean Science and Technology Limited,Specialty Chemicals
CLEDUCATE,CL Educate Limited,Education
CLSEL,Chaman Lal Setia Exports Limited,AGRICULTURAL PRODUCTS
CMSINFO,CMS Info Systems Limited,Finance
COALINDIA,Coal India Limited,Coal
COASTCORP,Coastal Corporation Limited,Packaged Foods
COCHINSHIP,Cochin Shipyard Limited,Shipping
COFFEEDAY,Coffee Day Enterprises Limited,Restaurants
COFORGE,Coforge Limited,IT Consulting & Application Software
COLPAL,Colgate Palmolive (India) Limited,Personal Products
COMPUSOFT,Compucom Software Limited,IT Training Services
CONCOR,Container Corporation of India Limited,Transport Related Services
CONFIPET,Confidence Petroleum India Limited,Oil Marketing & Distribution
CONSOFINVT,Consolidated Finvest & Holdings Limited,NBFC
CONTROLPR,Control Print Limited,Containers & Packaging
COROMANDEL,Coromandel International Limited,FERTILIZERS
COSMOFIRST,COSMO FIRST LIMITED,Process Industries
CRAFTSMAN,Craftsman Automation Limited,Industrial Machinery
CREATIVE,Creative Newtech Limited, Industrial Products
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Fin COS (including NBFCs)
CREST,Crest Ventures Limited,Fin COS (including NBFCs)
CRISIL,CRISIL Limited,Financial Services
CROMPTON,Crompton Greaves Consumer Electricals Limited,Household Appliances
CSBBANK,CSB Bank Limited,BANKS - PVT
CSLFINANCE,CSL Finance Limited,Finance
CTE,Cambridge Technology Enterprises Limited,Software Products
CUB,City Union Bank Limited,BANKS - PVT
CUMMINSIND,Cummins India Limited,Industrial Machinery
CYBERTECH,Cybertech Systems And Software Limited,Software Products
CYIENT,Cyient Limited,IT Consulting & Application Software
DABUR,Dabur India Limited,Personal Products
DALBHARAT,Dalmia Bharat Limited,Cement & Cement Products
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Sugar
DAMODARIND,Damodar Industries Limited,SPINNING-COTTON/BLENDED
DANGEE,Dangee Dums Limited,CONSUMER FOOD
DATAMATICS,Datamatics Global Services Limited,Software Products
DATAPATTNS,Data Patterns (India) Limited,Defence
DBL,Dilip Buildcon Limited,Roads & Highways
DBOL,Dhampur Bio Organics Limited,Process Industries
DBREALTY,D B Realty Limited,Realty
DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services
DCAL,Dishman Carbogen Amcis Limited,Pharmaceuticals
DCBBANK,DCB Bank Limited,BANKS - PVT
DCI,Dc Infotech And Communication Limited,Electronic Technology
DCM,DCM  Limited, Industrial Products
DCMNVL,DCM Nouvelle Limited,Textiles
DCMSHRIRAM,DCM Shriram Limited,Sugar
DCMSRIND,DCM Shriram Industries Limited,Sugar
DCW,DCW Limited,Commodity Chemicals
DCXINDIA,DCX Systems Limited,Producer Manufacturing
DECCANCE,Deccan Cements Limited,Cement & Cement Products
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Commodity Chemicals
DEEPAKNTR,Deepak Nitrite Limited,Specialty Chemicals
DEEPENR,DEEP ENERGY RESOURCES LIMITED,Integrated Oil & Gas
DEEPINDS,Deep Industries Limited,OIL Exploration & Production
DELHIVERY,Delhivery Limited,Transportation
DELPHIFX,DELPHI WORLD MONEY LIMITED,Financial Services
DELTACORP,Delta Corp Limited,Leisure Facilities
DELTAMAGNT,Delta Manufacturing Limited,Other Electrical Equipment/ Products
DEN,Den Networks Limited,Broadcasting & Cable TV
DENORA,De Nora India Limited, Industrial Goods
DEVIT,Dev Information Technology Limited,Technology Services
DEVYANI,Devyani International Limited,Restaurants
DGCONTENT,Digicontent Limited,PRINTING & PUBLICATION
DHAMPURSUG,Dhampur Sugar Mills Limited,Sugar
DHANI,Dhani Services Limited,Financial Services
DHANUKA,Dhanuka Agritech Limited,Agrochemicals
DHARMAJ,Dharmaj Crop Guard Limited,Process Industries
DHUNINV,Dhunseri Investments Limited,INVESTMENT COMPANIES
DIAMINESQ,Diamines  & Chemicals Limited,Process Industries
DIAMONDYD,Prataap Snacks Limited,Packaged Foods
DICIND,DIC India Limited,Specialty Chemicals
DIGISPICE,DiGiSPICE Technologies Limited,Telecommunications Equipment
DIL,Debock Industries Limited,Producer Manufacturing
DISHTV,Dish TV India Limited,Broadcasting & Cable TV
DIVGIITTS,Divgi Torqtransfer Systems Limited,Producer Manufacturing
DIVISLAB,Divi's Laboratories Limited,Pharmaceuticals
DIXON,Dixon Technologies (India) Limited,Consumer Electronics
DJML,DJ Mediaprint & Logistics Limited,Commercial Services
DLF,DLF Limited,Realty
DLINKINDIA,D-Link (India) Limited,Networking Equipment
DMART,Avenue Supermarts Limited,Department Stores
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Process Industries
DODLA,Dodla Dairy Limited,DIARY PRODUCTS
DOLLAR,Dollar Industries Limited,Apparels & Accessories
DONEAR,Donear Industries Limited,Textiles
DPABHUSHAN,D. P. Abhushan Limited,GEMS  / JEWELLERY & WATCHES
DPSCLTD,DPSC Limited,Electric Utilities - GENERATION
DPWIRES,D P Wires Limited,IRON & STEEL PRODUCTS
DREAMFOLKS,Dreamfolks Services Limited,Transportation
DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals
DSSL,Dynacons Systems & Solutions Limited,IT Consulting & Application Software
DTIL,Dhunseri Tea & Industries Limited,Tea & Coffee
DVL,Dhunseri Ventures Limited,Other Food Products
DWARKESH,Dwarikesh Sugar Industries Limited,Sugar
DYCL,Dynamic Cables Limited,Producer Manufacturing
DYNAMATECH,Dynamatic Technologies Limited,Industrial Machinery
DYNPRO,Dynemic Products Limited,Specialty Chemicals
EASEMYTRIP,Easy Trip Planners Limited,Travel Support Services
ECLERX,eClerx Services Limited,BPO / ITeS
EDELWEISS,Edelweiss Financial Services Limited,Holding Companies
EICHERMOT,Eicher Motors Limited,2/3 Wheelers
EIDPARRY,EID Parry India Limited,Sugar
EIFFL,Euro India Fresh Foods Limited,CONSUMER FOOD
EIHAHOTELS,EIH Associated Hotels Limited,Hotels
EIHOTEL,EIH Limited,Hotels
EIMCOELECO,Eimco Elecon (India) Limited,Industrial Machinery
EKC,Everest Kanto Cylinder Limited, Industrial Products
ELDEHSG,Eldeco Housing And Industries Limited,Finance
ELECON,Elecon Engineering Company Limited,Industrial Machinery
ELECTCAST,Electrosteel Castings Limited, Industrial Products
ELGIEQUIP,Elgi Equipments Limited,Industrial Machinery
ELGIRUBCO,Elgi Rubber Company Limited,Rubber Products
ELIN,Elin Electronics Limited,Electronic Technology
EMAMILTD,Emami Limited,Personal Products
EMAMIPAP,Emami Paper Mills Limited,Paper & Paper Products
EMIL,Electronics Mart India Limited,Retail Trade
EMMBI,Emmbi Industries Limited,Containers & Packaging
EMUDHRA,eMudhra Limited,Technology Services
ENDURANCE,Endurance Technologies Limited,Auto Parts & Equipment
ENGINERSIN,Engineers India Limited,Consulting Services
ENIL,Entertainment Network (India) Limited,Broadcasting & Cable TV
EPL,EPL Limited,Containers & Packaging
EQUITASBNK,Equitas Small Finance Bank Limited,BANKS - PVT
ERIS,Eris Lifesciences Limited,Pharmaceuticals
EROSMEDIA,Eros International Media Limited,Movies & Entertainment
ESABINDIA,Esab India Limited, Industrial Goods
ESCORTS,Escorts Kubota Limited,"Construction, Agricultural & Commercial Vehicles"
ESSARSHPNG,Essar Shipping Limited,Shipping
ESTER,Ester Industries Limited,Containers & Packaging
ETHOSLTD,Ethos Limited,Retail Trade
EVEREADY,Eveready Industries India Limited,Non-Durable Household Products
EVERESTIND,Everest Industries Limited,Cement & Cement Products
EXCELINDUS,Excel Industries Limited,Specialty Chemicals
EXIDEIND,Exide Industries Limited,Auto Parts & Equipment
EXPLEOSOL,Expleo Solutions Limited,IT Consulting & Application Software
EXXARO,Exxaro Tiles Limited,"Furniture, Furnishing & Paints"
FACT,Fertilizers and Chemicals Travancore Limited,FERTILIZERS
FAIRCHEMOR,Fairchem Organics Limited,Commodity Chemicals
FAZE3Q,Faze Three Limited,Process Industries
FCL,Fineotex Chemical Limited,Specialty Chemicals
FCSSOFT,FCS Software Solutions Limited,IT Consulting & Application Software
FDC,FDC Limited,Pharmaceuticals
FEDERALBNK,The Federal Bank  Limited,BANKS - PVT
FIBERWEB,Fiberweb (India) Limited,Producer Manufacturing
FIEMIND,Fiem Industries Limited,Auto Parts & Equipment
FILATEX,Filatex India Limited,Textiles
FINCABLES,Finolex Cables Limited,Other Electrical Equipment/ Products
FINEORG,Fine Organic Industries Limited,Specialty Chemicals
FINOPB,Fino Payments Bank Limited,BANKS - PVT
FINPIPE,Finolex Industries Limited,PLASTIC PRODUCTS
FIVESTAR,Five-Star Business Finance Limited,Finance
FLEXITUFF,Flexituff Ventures International Limited,PLASTIC PRODUCTS
FLUOROCHEM,Gujarat Fluorochemicals Limited,Specialty Chemicals
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Auto Parts & Equipment
FOCUS,Focus Lighting and Fixtures Limited,Consumer Electronics
FOODSIN,Foods & Inns Limited,Other Food Products
FORTIS,Fortis Healthcare Limited,Healthcare  - Facilities
FOSECOIND,Foseco India Limited,Commodity Chemicals
FSL,Firstsource Solutions Limited,BPO / ITeS
FUSION,Fusion Micro Finance Limited,Finance
GABRIEL,Gabriel India Limited,Auto Parts & Equipment
GAEL,Gujarat Ambuja Exports Limited,Other Agricultural Products
GAIL,GAIL (India) Limited,Utilities (Including Pipelines)
GALAXYSURF,Galaxy Surfactants Limited,Specialty Chemicals
GANDHITUBE,Gandhi Special Tubes Limited,IRON & STEEL PRODUCTS
GANECOS,Ganesha Ecosphere Limited,Textiles
GANESHBE,Ganesh Benzoplast Limited,Commodity Chemicals
GANESHHOUC,Ganesh Housing Corporation Limited,Realty
GANGESSECU,Ganges Securities Limited,INVESTMENT COMPANIES
GARFIBRES,Garware Technical Fibres Limited,Textiles
GATEWAY,Gateway Distriparks Limited,Non-Energy Minerals
GEECEE,GeeCee Ventures Limited,Realty
GEEKAYWIRE,Geekay Wires Limited,IRON & STEEL PRODUCTS
GENCON,Generic Engineering Construction and Projects Limited,Realty
GENESYS,Genesys International Corporation Limited,Software Products
GENSOL,Gensol Engineering Limited,Industrial Services
GENUSPAPER,Genus Paper & Boards Limited,Paper & Paper Products
GENUSPOWER,Genus Power Infrastructures Limited,Other Electrical Equipment/ Products
GEOJITFSL,Geojit Financial Services Limited,Financial Services
GEPIL,GE Power India Limited,Heavy Electrical Equipment
GESHIP,The Great Eastern Shipping Company Limited,Shipping
GFLLIMITED,GFL Limited,Consumer Services
GHCL,GHCL Limited,Commodity Chemicals
GICHSGFIN,GIC Housing Finance Limited,Housing Finance Companies
GICRE,General Insurance Corporation of India,General Insurance
GILLETTE,Gillette India Limited,Personal Products
GINNIFILA,Ginni Filaments Limited,Textiles
GIPCL,Gujarat Industries Power Company Limited,Electric Utilities
GKWLIMITED,GKW Limited,Transportation
GLAND,Gland Pharma Limited,Pharmaceuticals
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals
GLOBAL,Global Education Limited,Education
GLOBUSSPR,Globus Spirits Limited,Breweries & Distilleries
GLS,Glenmark Life Sciences Limited,Pharmaceuticals
GMBREW,GM Breweries Limited,Breweries & Distilleries
GMDCLTD,Gujarat Mineral Development Corporation Limited,Coal
GMMPFAUDLR,GMM Pfaudler Limited,INDUSTRIAL EQUIPMENT
GMRINFRA,GMR Airports Infrastructure Limited,Airport Services
GNA,GNA Axles Limited,Auto Parts & Equipment
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,FERTILIZERS
GOACARBON,Goa Carbon Limited,Refineries & Petroleum Products
GOCLCORP,GOCL Corporation Limited,EXPLOSIVES
GOCOLORS,Go Fashion (India) Limited,Other Apparels & Accessories
GODFRYPHLP,Godfrey Phillips India Limited,Cigarettes & Tobacco Products
GODREJAGRO,Godrej Agrovet Limited,Other Agricultural Products
GODREJCP,Godrej Consumer Products Limited,Personal Products
GODREJIND,Godrej Industries Limited,Packaged Foods
GODREJPROP,Godrej Properties Limited,Realty
GOKEX,Gokaldas Exports Limited,Other Apparels & Accessories
GOKULAGRO,Gokul Agro Resources Limited,Edible Oils
GOLDIAM,Goldiam International Limited,Other Apparels & Accessories
GOLDTECH,Goldstone Technologies Limited,IT Consulting & Application Software
GOODLUCK,Goodluck India Limited,IRON & STEEL PRODUCTS
GPIL,Godawari Power And Ispat limited,Iron & Steel and Intermediary Products
GPPL,Gujarat Pipavav Port Limited,Marine Port & Services
GPTINFRA,GPT Infraprojects Limited,Construction & Engineering
GRANULES,Granules India Limited,Pharmaceuticals
