Ticker,Name,Sector,Industry,Definition
COASTCORP,Coastal Corporation Limited,Packaged Foods,Packaged Foods,"Manufacturers of civil and military
aerospace and equipments, defense
equipments, defense electronics and
products thereof"
COCHINSHIP,Cochin Shipyard Limited,Shipping,Shipping,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
COFFEEDAY,Coffee Day Enterprises Limited,Restaurants,Restaurants,"Manufacturers of paper, paper boards etc."
COFORGE,Coforge Limited,IT Consulting & Application Software,IT Consulting & Application Software,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
COLPAL,Colgate Palmolive (India) Limited,Personal Products,Personal Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
COMPUSOFT,Compucom Software Limited,IT Training Services,IT Training Services,"Companies providing dredging and related
services"
CONCOR,Container Corporation of India Limited,Transport Related Services,Transport Related Services,"Companies providing dredging and related
services"
CONFIPET,Confidence Petroleum India Limited,Oil Marketing & Distribution,Oil Marketing & Distribution,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
CONSOFINVT,Consolidated Finvest & Holdings Limited,NBFC,NBFC,Producers and distributors of edible oil
CONTROLPR,Control Print Limited,Containers & Packaging,Containers & Packaging,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
COROMANDEL,Coromandel International Limited,FERTILIZERS,FERTILIZERS,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
COSMOFIRST,COSMO FIRST LIMITED,Process Industries,Process Industries,"Companies providing dredging and related
services"
CRAFTSMAN,Craftsman Automation Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
CREATIVE,Creative Newtech Limited, Industrial Products, Industrial Products,"Manufacturers of civil and military
aerospace and equipments, defense
equipments, defense electronics and
products thereof"
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Fin COS (including NBFCs),Fin COS (including NBFCs),"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
CREST,Crest Ventures Limited,Fin COS (including NBFCs),Fin COS (including NBFCs),"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
CRISIL,CRISIL Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
CROMPTON,Crompton Greaves Consumer Electricals Limited,Household Appliances,Household Appliances,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
CSBBANK,CSB Bank Limited,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
CSLFINANCE,CSL Finance Limited,Finance,Finance,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
CTE,Cambridge Technology Enterprises Limited,Software Products,Software Products,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
CUB,City Union Bank Limited,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
CUMMINSIND,Cummins India Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
CYBERTECH,Cybertech Systems And Software Limited,Software Products,Software Products,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
CYIENT,Cyient Limited,IT Consulting & Application Software,IT Consulting & Application Software,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
DABUR,Dabur India Limited,Personal Products,Personal Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
DALBHARAT,Dalmia Bharat Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
DAMODARIND,Damodar Industries Limited,SPINNING-COTTON/BLENDED,SPINNING-COTTON/BLENDED,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
DANGEE,Dangee Dums Limited,CONSUMER FOOD,CONSUMER FOOD,Producers and distributors of edible oil
DATAMATICS,Datamatics Global Services Limited,Software Products,Software Products,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
DATAPATTNS,Data Patterns (India) Limited,Defence,Defence,"Companies engaged into multiple business
segment, where no single business
segment contributes more than 50% of
companies' total revenue and two or
more segments each contributes at least
20% of total revenue"
DBL,Dilip Buildcon Limited,Roads & Highways,Roads & Highways,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
DBOL,Dhampur Bio Organics Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
DBREALTY,D B Realty Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
DCAL,Dishman Carbogen Amcis Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
DCBBANK,DCB Bank Limited,BANKS - PVT,BANKS - PVT,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
DCI,Dc Infotech And Communication Limited,Electronic Technology,Electronic Technology,"Companies engaged in software
development, IT consulting and data
analytics"
DCM,DCM  Limited, Industrial Products, Industrial Products,"Manufacturers of civil and military
aerospace and equipments, defense
equipments, defense electronics and
products thereof"
DCMNVL,DCM Nouvelle Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
DCMSHRIRAM,DCM Shriram Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
DCMSRIND,DCM Shriram Industries Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
DCW,DCW Limited,Commodity Chemicals,Commodity Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
DCXINDIA,DCX Systems Limited,Producer Manufacturing,Producer Manufacturing,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
DECCANCE,Deccan Cements Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Commodity Chemicals,Commodity Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
DEEPAKNTR,Deepak Nitrite Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
DEEPENR,DEEP ENERGY RESOURCES LIMITED,Integrated Oil & Gas,Integrated Oil & Gas,"Companies engaged in marketing and/ or
transportation of gases"
DEEPINDS,Deep Industries Limited,OIL Exploration & Production,OIL Exploration & Production,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
DELHIVERY,Delhivery Limited,Transportation,Transportation,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
DELPHIFX,DELPHI WORLD MONEY LIMITED,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
DELTACORP,Delta Corp Limited,Leisure Facilities,Leisure Facilities,"Companies engaged into water supply and
management"
DELTAMAGNT,Delta Manufacturing Limited,Other Electrical Equipment/ Products,Other Electrical Equipment/ Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
DEN,Den Networks Limited,Broadcasting & Cable TV,Broadcasting & Cable TV,"Companies engaged in marketing and/ or
transportation of gases"
DENORA,De Nora India Limited, Industrial Goods, Industrial Goods,Producers and distributors of edible oil
DEVIT,Dev Information Technology Limited,Technology Services,Technology Services,"Companies providing dredging and related
services"
DEVYANI,Devyani International Limited,Restaurants,Restaurants,"Manufacturers of paper, paper boards etc."
DGCONTENT,Digicontent Limited,PRINTING & PUBLICATION,PRINTING & PUBLICATION,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
DHAMPURSUG,Dhampur Sugar Mills Limited,Sugar,Sugar,"Manufacturers and distributors of bicycles
and tricycles"
DHANI,Dhani Services Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
